#Command: ./FaaSterConfig.py ../openFaas/image_processing.yml -d https://raw.githubusercontent.com/MBtech/rethinking-serverless/main/benchmarks/face-detection/pigo-openfaas/samples/nasa.jpg -c 0.1 0.5 0.9 1.3 1.7 -m 256.0 1280.0 2304.0 3328.0 -to 240 -con 6Function: image-processing
#Function argument(s): https://raw.githubusercontent.com/MBtech/rethinking-serverless/main/benchmarks/face-detection/pigo-openfaas/samples/nasa.jpg
#Experiment cost: $0.1451431133157778
#Total time 263.098694, tradeoff: $0.5, timeout: $240.0, concurrency: 6
#Recommendation: CPU :0.8999999761581421, Mem: 256.0, NodeType: c7g.large which had a final time of: 0.9367s and expected cost of $0.00000603, with a combined z of -0.664
#Failures: 3.75%
#CPU: [0.1, 0.5, 0.9, 1.3, 1.7]
#Mem: [256.0, 1280.0, 2304.0, 3328.0]
#NodeType: ['m5.large', 'c5.large', 'r5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
0.9,256.0,c7g.large,0.936691,6.025679398252049e-06,0.023158593211323023,3.438889,-0.6637909261577926
1.3,256.0,c7g.large,0.897829,8.02960713560809e-06,0.032196092672646046,3.440171,-0.6237539758846642
0.9,256.0,m5.large,0.997309,7.999249072685837e-06,0.02887499928474426,5.776291,-0.6101443429539009
0.9,256.0,c5.large,1.032455,7.80838887002345e-06,0.02722656186670065,3.425368,-0.6094372409815743
1.3,256.0,c5.large,0.890762,9.365758996496391e-06,0.0378515612334013,3.48709,-0.5943496240661774
0.9,1280.0,m5.large,0.918181,9.277453671740492e-06,0.03637499928474426,6.835058,-0.59241844607826
0.5,256.0,c7g.large,1.568167,6.151175895182292e-06,0.014121093749999999,3.475122,-0.5701555887827886
0.9,1280.0,c5.large,0.928202,1.0444286663970909e-05,0.040507811866700646,4.57563,-0.5644124959273902
1.7,256.0,c7g.large,0.919947,1.053686718351105e-05,0.041233594827353955,3.430003,-0.5634914097988482
0.9,1280.0,c7g.large,1.033529,9.891868223605687e-06,0.034455468211323025,4.542732,-0.5618481132536668
0.9,1280.0,r5.large,0.920293,1.0631900336186774e-05,0.041589842811226845,3.444624,-0.5612780433160001
1.7,256.0,c5.large,0.839287,1.1301597159438147e-05,0.0484765637665987,4.560316,-0.5576760624977173
1.3,1280.0,c7g.large,0.904626,1.092913038162086e-05,0.04349296767264604,3.515868,-0.5567632015039345
0.9,256.0,r5.large,1.019006,1.037913311317973e-05,0.036667967811226845,2.323537,-0.5528422772690902
0.9,2304.0,c7g.large,0.922876,1.1728816525970263e-05,0.04575234321132302,4.597827,-0.5359331477909074
1.3,256.0,m5.large,1.022755,1.1612530322760344e-05,0.04087499856948853,4.678807,-0.5242224889787376
0.5,256.0,c5.large,1.743426,8.039887695312499e-06,0.0166015625,3.463085,-0.5019606968792504
0.5,256.0,r5.large,1.59525,9.269274902343752e-06,0.02091796875,4.628887,-0.4952722591741971
