#Command: ./FaaSterConfig.py ../openFaas/image_processing.yml -d https://raw.githubusercontent.com/MBtech/rethinking-serverless/main/benchmarks/face-detection/pigo-openfaas/samples/nasa.jpg -c 0.1 0.9 1.7 -m 256.0 2304.0 -to 240 -con 10Function: image-processing
#Function argument(s): https://raw.githubusercontent.com/MBtech/rethinking-serverless/main/benchmarks/face-detection/pigo-openfaas/samples/nasa.jpg
#Experiment cost: $0.1477797984418889
#Total time 268.968139, tradeoff: $0.5, timeout: $240.0, concurrency: 10
#Recommendation: CPU :0.8999999761581421, Mem: 256.0, NodeType: c7g.large which had a final time of: 0.9204s and expected cost of $0.00000592, with a combined z of -0.658
#Failures: 41.67%
#CPU: [0.1, 0.9, 1.7]
#Mem: [256.0, 2304.0]
#NodeType: ['m5.large', 'c5.large', 'r5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
0.9,256.0,c7g.large,0.920406,5.920918928683605e-06,0.023158593211323023,2.39898,-0.6577283422248656
0.9,256.0,m5.large,1.031641,8.274620315864681e-06,0.02887499928474426,4.924646,-0.6000400198295788
1.7,256.0,c7g.large,0.981706,1.1244240956550649e-05,0.041233594827353955,3.548781,-0.5442454899640234
0.9,256.0,r5.large,1.148126,1.1694290892009065e-05,0.036667967811226845,3.447331,-0.5202545688910621
0.9,2304.0,c7g.large,1.054384,1.3400149623479892e-05,0.04575234321132302,3.542417,-0.4940130687331803
1.7,2304.0,c7g.large,0.831644,1.4744896767111095e-05,0.06382734482735394,3.528606,-0.4866165710295419
0.9,2304.0,r5.large,1.0669,1.3784264370221643e-05,0.046511717811226844,3.490612,-0.48510189490145506
0.9,2304.0,m5.large,1.230568,1.4997547255508107e-05,0.04387499928474427,4.703034,-0.44587081044092114
1.7,256.0,r5.large,0.951482,1.8016832507955285e-05,0.06816797062754631,3.445454,-0.4095292526676624
1.7,2304.0,r5.large,0.959317,2.078832494368218e-05,0.07801172062754631,2.392085,-0.3525964909654783
0.1,256.0,c7g.large,10.185792,1.438345247025784e-05,0.005083593783667311,4.690955,0.3412721449711393
0.1,256.0,r5.large,14.253547,2.0461635085822e-05,0.005167968808673322,6.868509,0.8278033052622153
0.1,2304.0,r5.large,14.21708,5.9284113122337036e-05,0.015011718808673323,6.809588,1.6122496940560627
0.1,2304.0,c7g.large,12.535513,9.637491744600852e-05,0.027677343783667308,6.876704,2.2146713653583516
0.1,256.0,m5.large,,,0.004875000044703483,,
1.7,256.0,m5.large,,,0.05287500143051147,,
0.1,2304.0,m5.large,,,0.019875000044703484,,
1.7,2304.0,m5.large,,,0.06787500143051148,,
0.1,256.0,c5.large,,,0.005976562539581209,,
0.9,256.0,c5.large,,,0.02722656186670065,,
1.7,256.0,c5.large,,,0.0484765637665987,,
0.1,2304.0,c5.large,,,0.03253906253958121,,
0.9,2304.0,c5.large,,,0.05378906186670065,,
1.7,2304.0,c5.large,,,0.0750390637665987,,
