#Command: ./FaaSterConfig.py ../openFaas/matmul2.yml -d 2000 -nt m5.large c7g.large -c .25 .5 1 -m 248 500 2000 -to 120 -con 25Function: matmul2
#Function argument(s): 2000
#Experiment cost: $0.03971221736544445
#Total time 123.546004, tradeoff: $0.5, timeout: $120.0, concurrency: 25
#Recommendation: CPU :1.0, Mem: 500.0, NodeType: m5.large which had a final time of: 1.0427s and expected cost of $0.00000975, with a combined z of -0.885
#Failures: 27.78%
#CPU: [0.25, 0.5, 1.0]
#Mem: [248.0, 500.0, 2000.0]
#NodeType: ['m5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
1.0,500.0,m5.large,1.042725,9.750089721679686e-06,0.033662109375,3.349706,-0.8847516170776812
1.0,500.0,c7g.large,1.326857,1.0360468855234782e-05,0.02810980224609375,4.485591,-0.7543431292644319
0.5,248.0,c7g.large,2.014684,7.853258890380858e-06,0.0140328369140625,4.4834,-0.7183197370869858
1.0,2000.0,c7g.large,1.160238,1.4392739171142577e-05,0.044657958984374996,5.659533,-0.5226951704103172
1.0,2000.0,m5.large,1.167364,1.4478049609375e-05,0.0446484375,3.391562,-0.514511518784177
0.5,500.0,c7g.large,2.181017,1.0185911150970459e-05,0.016812927246093748,4.426899,-0.5033413237713212
0.5,500.0,m5.large,2.087293,1.0820358406575519e-05,0.018662109375,4.467166,-0.48769922462777515
0.25,248.0,c7g.large,4.264569,9.932180506896972e-06,0.0083843994140625,6.753318,0.12100361527762454
0.25,248.0,m5.large,4.467959,1.1562589208984373e-05,0.00931640625,4.54168,0.2981169029134593
0.25,500.0,m5.large,4.653386,1.4428223193359375e-05,0.011162109375,5.500213,0.5563867934292613
0.25,500.0,c7g.large,4.693095,1.4554447501373288e-05,0.011164489746093749,4.503126,0.5774840481379242
0.5,2000.0,m5.large,2.82279,2.32475869140625e-05,0.0296484375,4.415202,0.6111719014576884
0.25,2000.0,m5.large,5.556676,3.4186580859375004e-05,0.0221484375,4.473452,2.221498459806731
0.5,248.0,m5.large,,,0.01681640625,,
1.0,248.0,m5.large,,,0.03181640625,,
1.0,248.0,c7g.large,,,0.0253297119140625,,
0.25,2000.0,c7g.large,,,0.027712646484375,,
0.5,2000.0,c7g.large,,,0.033361083984375,,
