#Command: ./FaaSterConfig.py ../openFaas/matmul2.yml -d 1000 -nt r5.large c5.large m5.large c7g.large -c .25 .5 1 -m 248 500 2000 -to 120 -con 25Function: matmul2
#Function argument(s): 1000
#Experiment cost: $0.04598590101155556
#Total time 134.489243, tradeoff: $0.5, timeout: $120.0, concurrency: 25
#Recommendation: CPU :1.0, Mem: 500.0, NodeType: c5.large which had a final time of: 0.5567s and expected cost of $0.00000511, with a combined z of -0.937
#Failures: 55.56%
#CPU: [0.25, 0.5, 1.0]
#Mem: [248.0, 500.0, 2000.0]
#NodeType: ['r5.large', 'c5.large', 'm5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
1.0,500.0,c5.large,0.556709,5.110509034050836e-06,0.0330474853515625,5.601208,-0.9367853431168152
1.0,500.0,m5.large,0.553087,5.171687524414062e-06,0.033662109375,38.128546,-0.933620530934595
1.0,248.0,m5.large,0.615528,5.439969140625e-06,0.03181640625,6.607705,-0.8860613169336067
0.5,500.0,m5.large,0.98355,5.098643798828125e-06,0.018662109375,7.772485,-0.7541522555330575
0.5,500.0,c5.large,0.964593,5.296214515686036e-06,0.0197662353515625,5.563077,-0.7470537149234612
1.0,2000.0,c5.large,0.535855,7.814915483262805e-06,0.05250244140625,4.436343,-0.7370012594359594
0.5,248.0,r5.large,0.994053,5.765373921203614e-06,0.020879516601562502,5.554293,-0.6981712499752794
0.5,2000.0,m5.large,0.945358,7.785663216145833e-06,0.0296484375,4.435423,-0.5631659050640878
0.5,2000.0,r5.large,1.557395,1.2675697219848633e-05,0.029300537109375,5.542407,0.0774795762520594
0.25,248.0,r5.large,2.975015,9.119880882263185e-06,0.0110357666015625,5.591316,0.4126089884594692
0.25,500.0,r5.large,2.89969,9.864591758728027e-06,0.01224700927734375,5.552249,0.43770177235743907
0.25,248.0,c5.large,3.283759,8.991276694403754e-06,0.009857177734375,5.648309,0.5354473221709521
0.25,500.0,c5.large,2.998893,1.0933972501118978e-05,0.0131256103515625,5.557992,0.5629056830321912
0.25,2000.0,m5.large,2.831844,1.7422477734375e-05,0.0221484375,5.507861,0.9919159319757371
0.25,2000.0,r5.large,3.237768,1.749904519042969e-05,0.019456787109375,5.502535,1.1723804217291653
0.25,2000.0,c5.large,3.221911,2.9158801469590924e-05,0.03258056640625,5.587431,2.0655718799398497
1.0,248.0,r5.large,,,0.0405670166015625,4.466683,
0.5,500.0,r5.large,,,0.02209075927734375,,
1.0,500.0,r5.large,,,0.04177825927734375,4.444186,
1.0,2000.0,r5.large,,,0.048988037109375,,
0.5,248.0,c5.large,,,0.016497802734375,,
1.0,248.0,c5.large,,,0.029779052734375,,
0.5,2000.0,c5.large,,,0.03922119140625,,
0.25,248.0,m5.large,,,0.00931640625,,
0.5,248.0,m5.large,,,0.01681640625,,
0.25,500.0,m5.large,,,0.011162109375,,
1.0,2000.0,m5.large,,,0.0446484375,,
0.25,248.0,c7g.large,,,0.0083843994140625,,
0.5,248.0,c7g.large,,,0.0140328369140625,,
1.0,248.0,c7g.large,,,0.0253297119140625,,
0.25,500.0,c7g.large,,,0.011164489746093749,,
0.5,500.0,c7g.large,,,0.016812927246093748,,
1.0,500.0,c7g.large,,,0.02810980224609375,,
0.25,2000.0,c7g.large,,,0.027712646484375,,
0.5,2000.0,c7g.large,,,0.033361083984375,,
1.0,2000.0,c7g.large,,,0.044657958984374996,,
