#Command: ./FaaSterConfig.py ../openFaas/matmul2.yml -d 1000 -nt r5.large c5.large m5.large c7g.large -c .25 .5 1 -m 248 500 2000 -to 120 -con 20Function: matmul2
#Function argument(s): 1000
#Experiment cost: $0.05263022869333333
#Total time 140.030430, tradeoff: $0.5, timeout: $120.0, concurrency: 20
#Recommendation: CPU :1.0, Mem: 248.0, NodeType: m5.large which had a final time of: 0.5514s and expected cost of $0.00000487, with a combined z of -0.958
#Failures: 55.56%
#CPU: [0.25, 0.5, 1.0]
#Mem: [248.0, 500.0, 2000.0]
#NodeType: ['r5.large', 'c5.large', 'm5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
1.0,248.0,m5.large,0.551392,4.8731421875e-06,0.03181640625,3.349437,-0.9581362109046577
1.0,248.0,r5.large,0.539085,6.074741706848145e-06,0.0405670166015625,6.710634,-0.8692888807138314
1.0,248.0,c5.large,0.666193,5.510721243964301e-06,0.029779052734375,3.348201,-0.8392257867191967
1.0,2000.0,c7g.large,0.605448,7.510575541992186e-06,0.044657958984374996,4.44056,-0.7151697963974251
1.0,2000.0,r5.large,0.586916,7.986628552246094e-06,0.048988037109375,3.3795,-0.6880476302406384
1.0,2000.0,c5.large,0.571861,8.340027401394315e-06,0.05250244140625,6.712549,-0.6686810477801614
0.5,2000.0,m5.large,0.997772,8.217327994791667e-06,0.0296484375,3.365738,-0.4265710259212065
0.5,500.0,c5.large,1.359283,7.463307690938314e-06,0.0197662353515625,5.626673,-0.2730586474719165
0.5,2000.0,c7g.large,1.183334,1.096591804321289e-05,0.033361083984375,2.306041,-0.09692652574197497
0.25,248.0,c5.large,2.039792,5.585164523654514e-06,0.009857177734375,4.481203,-0.02078816099275327
0.5,2000.0,r5.large,1.368371,1.1137223684692381e-05,0.029300537109375,4.411696,0.02622694785650348
0.5,2000.0,c5.large,1.338839,1.4586350189208984e-05,0.03922119140625,3.342973,0.2846858958295814
0.25,2000.0,m5.large,2.248336,1.3832535937499999e-05,0.0221484375,4.458239,0.7623478470264474
0.25,2000.0,r5.large,2.492605,1.3471690231323242e-05,0.019456787109375,4.441271,0.8779653399212265
0.25,2000.0,c7g.large,2.153582,1.6578182400309245e-05,0.027712646484375,6.626966,0.925950271334868
0.25,2000.0,c5.large,3.308884,2.9945920803493918e-05,0.03258056640625,4.469901,2.678717410915139
0.25,248.0,r5.large,,,0.0110357666015625,,
0.5,248.0,r5.large,,,0.020879516601562502,,
0.25,500.0,r5.large,,,0.01224700927734375,,
0.5,500.0,r5.large,,,0.02209075927734375,,
1.0,500.0,r5.large,,,0.04177825927734375,,
0.5,248.0,c5.large,,,0.016497802734375,,
0.25,500.0,c5.large,,,0.0131256103515625,,
1.0,500.0,c5.large,,,0.0330474853515625,,
0.25,248.0,m5.large,,,0.00931640625,,
0.5,248.0,m5.large,,,0.01681640625,,
0.25,500.0,m5.large,,,0.011162109375,,
0.5,500.0,m5.large,,,0.018662109375,,
1.0,500.0,m5.large,,,0.033662109375,32.746338,
1.0,2000.0,m5.large,,,0.0446484375,,
0.25,248.0,c7g.large,,,0.0083843994140625,,
0.5,248.0,c7g.large,,,0.0140328369140625,,
1.0,248.0,c7g.large,,,0.0253297119140625,,
0.25,500.0,c7g.large,,,0.011164489746093749,,
0.5,500.0,c7g.large,,,0.016812927246093748,,
1.0,500.0,c7g.large,,,0.02810980224609375,,
