#Command: ./FaaSterConfig.py ../openFaas/matmul2.yml -d 1000 -nt r5.large c5.large m5.large c7g.large -c .25 .5 1 -m 248 500 15000 -to 120 -con 10Function: matmul2
#Function argument(s): 1000
#Experiment cost: $0.07212879899850003
#Total time 215.563702, tradeoff: $0.5, timeout: $120.0, concurrency: 10
#Recommendation: CPU :1.0, Mem: 500.0, NodeType: c7g.large which had a final time of: 0.5557s and expected cost of $0.00000434, with a combined z of -0.967
#Failures: 13.89%
#CPU: [0.25, 0.5, 1.0]
#Mem: [248.0, 500.0, 15000.0]
#NodeType: ['r5.large', 'c5.large', 'm5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
1.0,500.0,c7g.large,0.555701,4.33906811609904e-06,0.02810980224609375,7.775052,-0.9671186692352121
1.0,248.0,c7g.large,0.594021,4.179550222473145e-06,0.0253297119140625,11.131801,-0.9424532474856785
1.0,500.0,c5.large,0.636496,5.842942287868924e-06,0.0330474853515625,60.776181,-0.8849770303283102
1.0,500.0,m5.large,0.64534,6.03430712890625e-06,0.033662109375,6.684012,-0.875547591808429
1.0,248.0,m5.large,0.745096,6.585076953124999e-06,0.03181640625,19.935919,-0.7955173387271938
1.0,500.0,r5.large,0.74934,8.696144668579102e-06,0.04177825927734375,3.405375,-0.7579241411570824
1.0,248.0,c5.large,0.84438,6.984676818847656e-06,0.029779052734375,31.711889,-0.7182987270548873
0.5,248.0,c7g.large,1.011706,3.943640361938476e-06,0.0140328369140625,3.390479,-0.6489909349301786
0.5,248.0,m5.large,1.078029,5.035714892578124e-06,0.01681640625,4.466378,-0.583894956743308
1.0,15000.0,c7g.large,0.615732,3.2167775367431636e-05,0.1880753173828125,72.530492,-0.4686460983847651
0.5,248.0,r5.large,1.256963,7.290216618347169e-06,0.020879516601562502,4.521367,-0.41960112042506714
0.5,500.0,c7g.large,1.34044,6.26020005493164e-06,0.016812927246093748,3.618607,-0.37704687074401244
0.5,500.0,m5.large,1.425555,7.389962036132812e-06,0.018662109375,11.115762,-0.2979567652650773
0.5,500.0,r5.large,1.475674,9.055210862731932e-06,0.02209075927734375,3.407851,-0.235008820556177
0.5,500.0,c5.large,1.632999,8.96617848968506e-06,0.0197662353515625,30.094932,-0.12447632991073242
0.5,15000.0,m5.large,1.082204,3.753542845052083e-05,0.12486328125,73.471592,-0.04868776620038057
0.25,248.0,c7g.large,1.879463,4.377269021097819e-06,0.0083843994140625,4.48106,-0.02418370539492687
0.5,15000.0,r5.large,1.256414,3.203341907653808e-05,0.0917852783203125,7.864995,-0.014782056373888741
0.25,500.0,c5.large,1.845042,6.72702843729655e-06,0.0131256103515625,4.535311,-0.010204916212706416
0.25,500.0,m5.large,1.919425,5.951342163085936e-06,0.011162109375,4.499538,0.03004091137442305
0.25,248.0,m5.large,2.028241,5.248865869140625e-06,0.00931640625,3.397037,0.09599652539617176
0.5,15000.0,c7g.large,1.068096,5.2448985332031255e-05,0.1767784423828125,64.764796,0.1855031252503797
0.5,15000.0,c5.large,1.133719,6.545048297288683e-05,0.207830810546875,96.401994,0.44513683424427986
0.25,500.0,c7g.large,2.624011,8.137706639760334e-06,0.011164489746093749,3.365134,0.5674000504680636
0.25,248.0,c5.large,2.652879,7.26386105855306e-06,0.009857177734375,4.548161,0.5736388733216071
0.25,248.0,r5.large,2.741217,8.403175282287597e-06,0.0110357666015625,4.717922,0.6551796788850173
0.25,500.0,r5.large,2.819714,9.592517643737793e-06,0.01224700927734375,4.547376,0.7305345390081188
0.25,15000.0,r5.large,2.029333,4.619073541412353e-05,0.0819415283203125,67.178424,0.7672630334670851
0.25,15000.0,m5.large,2.137692,6.96907076171875e-05,0.11736328125,73.521002,1.2292474823399966
0.25,15000.0,c7g.large,2.148833,0.00010214716716176351,0.1711300048828125,29.743304,1.7687050098491386
0.25,15000.0,c5.large,2.200535,0.00012297945693122016,0.201190185546875,97.951375,2.146671023333736
1.0,248.0,r5.large,,,0.0405670166015625,,
1.0,15000.0,r5.large,,,0.1114727783203125,45.05398,
0.5,248.0,c5.large,,,0.016497802734375,,
1.0,15000.0,c5.large,,,0.221112060546875,,
1.0,15000.0,m5.large,,,0.13986328125,74.73866,
