#Command: ./FaaSterConfig.py ../openFaas/matmul2.yml -d 1000 -nt r5.large c5.large m5.large c7g.large -to 300 -con 10 -c 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.0 1.1 1.2 1.3 1.4 1.5 -m 256.0 384.0 512.0 640.0 768.0 896.0 1024.0 1152.0 1280.0 1408.0 1536.0 1664.0 1792.0 1920.0 2048.0 2176.0 2304.0 2432.0Function: matmul2
#Function argument(s): 1000
#Experiment cost: $1.6711491033423331
#Total time 3660.094467, tradeoff: $0.5, timeout: $300.0, concurrency: 10
#Recommendation: CPU :1.100000023841858, Mem: 384.0, NodeType: c7g.large which had a final time of: 0.5206s and expected cost of $0.00000421, with a combined z of -1.103
#Failures: 19.15%
#CPU: [0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5]
#Mem: [256.0, 384.0, 512.0, 640.0, 768.0, 896.0, 1024.0, 1152.0, 1280.0, 1408.0, 1536.0, 1664.0, 1792.0, 1920.0, 2048.0, 2176.0, 2304.0, 2432.0]
#NodeType: ['r5.large', 'c5.large', 'm5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
1.1,384.0,c7g.large,0.520609,4.206730939553669e-06,0.029089453663676976,4.712522,-1.102812312060801
1.3,640.0,c7g.large,0.471884,4.775521237687891e-06,0.036432420797646047,4.772755,-1.0529562942865762
0.9,384.0,c7g.large,0.610724,4.168310490647095e-06,0.024570702586323025,3.583159,-1.040381263563136
1.2,512.0,c7g.large,0.526239,4.788912098891157e-06,0.03276093857735395,2.46248,-1.00972069459463
1.2,256.0,m5.large,0.48206,5.0716731082201e-06,0.03787500143051147,2.420152,-1.0000597932733646
1.1,256.0,m5.large,0.510096,4.94155510134697e-06,0.03487500071525574,4.717359,-0.9986653845899065
0.9,256.0,c7g.large,0.66322,4.266456163781571e-06,0.023158593211323023,4.762934,-0.9856232202464835
1.0,896.0,c7g.large,0.540617,4.877343800455729e-06,0.032478515624999996,4.748118,-0.9853321720877066
0.9,512.0,c7g.large,0.623395,4.499320850730269e-06,0.025982811961323023,2.449723,-0.9802754912556177
1.1,256.0,c5.large,0.545602,4.931493867681776e-06,0.03253906313329935,4.760755,-0.9732925048556074
1.1,1152.0,c7g.large,0.496423,5.179637580465907e-06,0.03756210991367698,4.811935,-0.9727024703765662
1.0,256.0,c7g.large,0.63648,4.493896875e-06,0.02541796875,4.812323,-0.971186675195673
1.1,768.0,c7g.large,0.543317,5.029573273355169e-06,0.03332578178867698,4.725565,-0.9600599325011804
1.2,384.0,c7g.large,0.569639,4.960421032777696e-06,0.031348829202353955,3.605997,-0.950662752543465
0.7,384.0,c7g.large,0.740906,4.126836717354652e-06,0.020051952855661512,4.693529,-0.9480516006846964
1.0,512.0,c5.large,0.552198,5.092972005208333e-06,0.033203125,2.41899,-0.9436566176215019
1.0,384.0,c7g.large,0.631752,4.7083209765625e-06,0.026830078125,2.467683,-0.9420544844961802
1.2,384.0,m5.large,0.498235,5.3715962917308e-06,0.03881250143051147,2.439912,-0.9420415966648739
1.0,512.0,m5.large,0.547819,5.135803125e-06,0.03375,3.76365,-0.940440348551814
1.3,256.0,m5.large,0.485041,5.507236161428691e-06,0.04087499856948853,2.411838,-0.9313456239231888
1.3,256.0,c7g.large,0.572013,5.115717654988411e-06,0.032196092672646046,3.586633,-0.9251696062300945
0.9,640.0,c5.large,0.575135,5.145386264926701e-06,0.032207030616700646,2.519025,-0.9182770018669042
0.8,384.0,c5.large,0.656931,4.786557854006454e-06,0.02623046906664967,2.517776,-0.9110359591308969
1.2,1280.0,c7g.large,0.490382,5.616725749618747e-06,0.041233594827353955,8.265221,-0.9105928633805912
1.5,512.0,c7g.large,0.508557,5.58551861328125e-06,0.0395390625,4.698837,-0.9015804369311904
1.2,256.0,c7g.large,0.612237,5.091213204705473e-06,0.029936719827353953,4.745999,-0.8984248673095283
1.1,640.0,c7g.large,0.591005,5.239205545790321e-06,0.03191367241367697,2.415911,-0.8919357809645182
0.9,768.0,m5.large,0.588545,5.333688945566615e-06,0.032624999284744265,3.610219,-0.879384483431057
0.9,896.0,m5.large,0.578409,5.392458791330457e-06,0.033562499284744265,4.635784,-0.8780992977867886
1.3,384.0,m5.large,0.49982,5.805200843056044e-06,0.04181249856948853,2.459127,-0.8746841891658712
1.0,640.0,m5.large,0.571684,5.508413541666666e-06,0.034687499999999996,2.458603,-0.8655042553285253
1.0,1280.0,c7g.large,0.552117,5.630802607421874e-06,0.03671484375,2.474328,-0.8616597229672589
1.3,512.0,m5.large,0.502923,5.972210425156355e-06,0.04274999856948852,7.169456,-0.8468514976050096
0.9,384.0,m5.large,0.639364,5.294732997969786e-06,0.029812499284744262,2.429166,-0.8468153093939962
1.5,768.0,c7g.large,0.507079,5.967091748046875e-06,0.04236328125,8.230704,-0.8444828754146141
1.3,512.0,c7g.large,0.581351,5.655303629407417e-06,0.03502031142264605,10.576928,-0.8357667728068425
0.7,512.0,c5.large,0.716088,5.019453582847491e-06,0.025234374683350325,4.699012,-0.8306707450723012
0.9,1408.0,c7g.large,0.575902,5.737836018644056e-06,0.03586757758632302,4.778901,-0.8273040642093477
1.0,1408.0,m5.large,0.532343,5.961132552083334e-06,0.0403125,2.41343,-0.8262459576985338
1.1,1664.0,m5.large,0.492288,6.179240097808838e-06,0.045187500715255735,2.429779,-0.823324069673026
0.7,640.0,c7g.large,0.763667,4.852715928216864e-06,0.02287617160566151,2.505525,-0.8200529832496501
0.8,512.0,m5.large,0.682924,5.264205901175737e-06,0.02775000035762787,5.065338,-0.8184613000625479
0.8,640.0,c5.large,0.65851,5.405412547070688e-06,0.029550781566649673,3.636166,-0.8154189799902385
1.3,1152.0,c7g.large,0.521472,6.095552593941689e-06,0.042080858297646045,6.002667,-0.8139756296939746
1.0,256.0,c5.large,0.656094,5.4460927734374995e-06,0.029882812499999998,4.830113,-0.8110432341066627
1.3,384.0,c5.large,0.546834,6.001764032866185e-06,0.0395117174834013,20.50078,-0.8090648088883238
1.1,896.0,c7g.large,0.59975,5.787236173726463e-06,0.034737891163676975,4.716515,-0.8016939242514182
1.0,1152.0,m5.large,0.56246,6.005432291666666e-06,0.0384375,2.398058,-0.7966630884957977
1.1,384.0,c5.large,0.608318,5.778889093558304e-06,0.03419921938329935,2.414269,-0.7964742679751458
1.2,1024.0,c5.large,0.502823,6.307111591840267e-06,0.0451562512665987,4.653904,-0.7958304986577001
0.9,256.0,c5.large,0.703568,5.321038244286344e-06,0.02722656186670065,2.424266,-0.7941453377402568
1.5,512.0,c5.large,0.493804,6.376158420138888e-06,0.046484374999999994,10.498395,-0.7921308159204312
0.8,1536.0,c7g.large,0.600841,5.844899929067252e-06,0.03502031276933849,4.821698,-0.7920692020632829
1.3,768.0,c7g.large,0.571018,6.002752202812222e-06,0.037844530172646045,2.478353,-0.7905863823427055
0.7,1024.0,c7g.large,0.707467,5.328110790819973e-06,0.02711249973066151,2.509243,-0.7901114328303762
1.1,1152.0,m5.large,0.537815,6.190474846437574e-06,0.04143750071525574,4.701513,-0.7871076659861748
1.2,1408.0,c7g.large,0.527112,6.244184009308666e-06,0.04264570420235395,2.471843,-0.7870242991125138
1.1,1024.0,m5.large,0.548049,6.165551358887553e-06,0.04050000071525574,2.44189,-0.7831545520218217
1.3,1280.0,c7g.large,0.524541,6.33717909888262e-06,0.04349296767264604,8.26514,-0.7747841976183439
1.0,384.0,m5.large,0.635091,5.78858984375e-06,0.0328125,2.492836,-0.7747044855537408
0.8,384.0,c7g.large,0.801588,4.9679147513780555e-06,0.022311328394338487,4.733158,-0.773738646258731
1.4,640.0,c7g.large,0.569675,6.122708077193005e-06,0.03869179633632302,11.910893,-0.7733021701028233
1.0,256.0,r5.large,0.5511,6.2160205078125e-06,0.04060546875,8.522823,-0.7731421595754939
1.2,640.0,m5.large,0.551661,6.234918812960385e-06,0.04068750143051147,2.415104,-0.7698336441414844
0.8,896.0,c5.large,0.637079,5.817078815801974e-06,0.032871094066649675,4.758583,-0.768851254951377
1.2,384.0,r5.large,0.4834,6.592462166175246e-06,0.049095705002546314,2.429079,-0.7670133557753809
1.1,1408.0,c5.large,0.495419,6.534090739279105e-06,0.04748046938329935,4.724881,-0.7668107364715859
1.2,384.0,c5.large,0.591969,6.060359925071088e-06,0.0368554700165987,16.038782,-0.7659194607183535
0.6,640.0,c7g.large,0.84229,4.823700637101661e-06,0.020616797413676977,3.601231,-0.7648960881989688
0.8,512.0,c7g.large,0.779521,5.136921648164585e-06,0.023723437769338485,2.432195,-0.7646761102530433
1.3,896.0,c7g.large,0.567863,6.1923314176235915e-06,0.03925663954764605,4.810504,-0.764052757709706
1.0,896.0,c5.large,0.579258,6.1439311523437515e-06,0.03818359375,2.606558,-0.762801704729631
1.4,768.0,c7g.large,0.561809,6.2585375454924095e-06,0.040103905711323024,2.434426,-0.7585394858834151
1.1,1024.0,c7g.large,0.603048,6.055607090235575e-06,0.03615000053867697,4.952568,-0.7582484785661885
1.0,256.0,m5.large,0.655104,5.8004e-06,0.031875,2.505144,-0.7577358794153297
1.0,768.0,m5.large,0.609283,6.0293630208333325e-06,0.035625,4.739799,-0.7575274608259099
1.1,768.0,m5.large,0.57782,6.1995271981358525e-06,0.038625000715255736,4.670892,-0.7554090418567994
1.2,896.0,c7g.large,0.595824,6.123294287684262e-06,0.036997266702353954,4.733578,-0.7533959114392391
0.9,1536.0,c7g.large,0.593062,6.141434919071155e-06,0.03727968696132303,4.765786,-0.7527213063975429
0.7,256.0,c7g.large,0.89677,4.6432367883757835e-06,0.01863984348066151,2.476222,-0.7511426993173642
0.9,512.0,c5.large,0.679581,5.766409841387999e-06,0.03054687436670065,2.41536,-0.7443721439282127
0.7,1152.0,c7g.large,0.710144,5.626827780203024e-06,0.02852460910566151,3.710668,-0.7425066242356568
0.9,1536.0,m5.large,0.591245,6.281978007530173e-06,0.03824999928474426,11.7698,-0.7326552640934423
1.5,384.0,c7g.large,0.592583,6.275940073242187e-06,0.038126953125,20.129502,-0.7325624951438208
1.4,640.0,m5.large,0.514415,6.671319429044921e-06,0.046687499284744256,4.67153,-0.7314774087126299
0.8,768.0,r5.large,0.626392,6.123226566047221e-06,0.03519140671938658,3.64315,-0.7302405197515099
0.7,384.0,c5.large,0.804257,5.2665917207086194e-06,0.023574218433350322,2.43058,-0.7261460063710158
1.2,512.0,c5.large,0.592058,6.33430129337497e-06,0.0385156262665987,5.855849,-0.7240560320483749
1.4,384.0,c7g.large,0.621243,6.189578195127798e-06,0.03586757758632302,14.410891,-0.7240192011057471
1.4,768.0,c5.large,0.516233,6.760994169168743e-06,0.047148436866700644,12.657229,-0.7164177320174175
1.1,1280.0,c7g.large,0.590843,6.3965679575499366e-06,0.038974219288676976,38.158646,-0.715476615921669
1.2,640.0,c7g.large,0.645561,6.127996391435991e-06,0.03417304795235395,2.470311,-0.7149856949900435
0.7,768.0,m5.large,0.757531,5.60257294557939e-06,0.02662499964237213,2.419179,-0.7102953762067117
1.1,384.0,m5.large,0.630513,6.272290906521678e-06,0.03581250071525574,4.759543,-0.7043742990975028
1.3,1024.0,c7g.large,0.578695,6.537444904941848e-06,0.04066874892264605,7.149824,-0.7031889049008633
1.4,896.0,c7g.large,0.571129,6.586388938954606e-06,0.04151601508632302,2.52694,-0.7014552153453943
0.9,896.0,c5.large,0.635836,6.274878816097354e-06,0.03552734311670065,3.61072,-0.6999454599937323
1.1,640.0,c5.large,0.614021,6.399383468476486e-06,0.037519531883299345,10.570916,-0.6974817763634993
1.4,1792.0,c7g.large,0.491081,7.011651886804784e-06,0.05140078071132302,2.441347,-0.697235451450094
0.7,768.0,c5.large,0.733816,5.820523980593722e-06,0.028554687183350323,4.624004,-0.6950142238713015
0.8,384.0,m5.large,0.763822,5.688882680045565e-06,0.026812500357627868,3.585241,-0.6923592788744466
0.9,1280.0,c5.large,0.584745,6.579650124998296e-06,0.040507811866700646,3.609167,-0.6921645934607706
0.6,768.0,c7g.large,0.857893,5.249568036571794e-06,0.02202890678867698,3.584179,-0.6880957253334818
0.7,256.0,m5.large,0.840519,5.340797729001939e-06,0.022874999642372128,4.660818,-0.6873433152132931
1.1,1280.0,m5.large,0.569102,6.6988049047370755e-06,0.04237500071525574,7.257833,-0.6858397516466639
1.3,512.0,c5.large,0.581465,6.650000988997829e-06,0.041171873733401296,10.373478,-0.6839166933469081
0.6,512.0,c5.large,0.849511,5.327879468019379e-06,0.02257812563329935,4.725577,-0.6824997712991062
1.0,1664.0,m5.large,0.572732,6.711703125000001e-06,0.0421875,2.449261,-0.6811208674135465
0.7,1024.0,r5.large,0.683116,6.164054442181811e-06,0.032484374530613425,2.524092,-0.6810234514948668
1.2,1664.0,c7g.large,0.543562,6.865478405507617e-06,0.045469922952353956,22.092245,-0.6797652146181802
1.2,1024.0,c7g.large,0.611906,6.528591021663707e-06,0.03840937607735395,9.574085,-0.6793710645632747
0.9,1280.0,m5.large,0.635538,6.421581748729945e-06,0.03637499928474426,2.435612,-0.6777884309960754
0.7,1024.0,c5.large,0.694422,6.14852806391986e-06,0.03187499968335032,3.557292,-0.6748241879998802
0.7,384.0,m5.large,0.829892,5.489389709224303e-06,0.02381249964237213,2.464756,-0.6727258224449967
0.8,1152.0,c5.large,0.640157,6.435606181524098e-06,0.036191406566649674,2.410317,-0.6721482113910644
0.9,512.0,m5.large,0.71238,6.0849123584628104e-06,0.030749999284744263,2.717281,-0.6709208769974109
0.7,256.0,c5.large,0.87066,5.299915939043275e-06,0.021914062183350323,4.729654,-0.6707386357680815
1.3,640.0,m5.large,0.56295,6.831632588803767e-06,0.043687498569488524,2.40512,-0.6702361160802102
1.1,1792.0,m5.large,0.54197,6.943990732679763e-06,0.046125000715255736,20.887821,-0.6689928599954491
0.9,1024.0,c5.large,0.630211,6.50999198982994e-06,0.03718749936670065,2.391507,-0.6683364657665978
0.8,768.0,c7g.large,0.782697,5.7718808651990766e-06,0.026547656519338485,3.574425,-0.6653917458343958
1.5,384.0,c5.large,0.55499,6.9102758789062495e-06,0.04482421875,2.401182,-0.6642697200062051
0.9,256.0,r5.large,0.638169,6.500100097256341e-06,0.036667967811226845,7.249479,-0.6638147895443542
0.9,768.0,c7g.large,0.746033,5.969720984072347e-06,0.028807030711323026,2.434894,-0.6629922710056937
1.2,2048.0,m5.large,0.505673,7.163701034269731e-06,0.05100000143051147,19.707261,-0.6629784636883567
1.1,896.0,c5.large,0.593892,6.737349127912893e-06,0.04083984438329935,2.563204,-0.6611720433190189
0.7,1024.0,m5.large,0.753957,5.9688261751011e-06,0.02849999964237213,4.716638,-0.6571236518716743
0.9,1152.0,r5.large,0.594479,6.766262291266583e-06,0.04097460843622685,2.54686,-0.6563158297904018
1.2,1408.0,c5.large,0.51646,7.192669561047936e-06,0.050136720016598704,2.444953,-0.6503838115056939
1.5,256.0,m5.large,0.542602,7.0651302083333335e-06,0.046875,61.724948,-0.6500313238955235
0.6,512.0,c7g.large,0.947837,5.056364971254298e-06,0.019204688038676976,3.584533,-0.6494098732443636
1.5,384.0,m5.large,0.535409,7.110900781250001e-06,0.0478125,60.71375,-0.6484991427562408
1.2,768.0,m5.large,0.592349,6.849035547878344e-06,0.04162500143051147,3.533647,-0.6453010927278204
0.9,1152.0,c5.large,0.621411,6.7056557012304355e-06,0.03884765561670065,2.429494,-0.645152532835906
1.0,768.0,c5.large,0.648242,6.5766739366319446e-06,0.0365234375,3.550679,-0.6444979645743061
0.9,896.0,c7g.large,0.733298,6.15545416306125e-06,0.030219140086323024,3.566748,-0.6443055759983184
0.8,512.0,r5.large,0.680595,6.420456827020738e-06,0.03396093796938658,3.590831,-0.6438139617693457
1.4,1024.0,m5.large,0.523792,7.20213989593188e-06,0.04949999928474426,3.561253,-0.6433823967977372
0.8,1152.0,m5.large,0.701492,6.3207352780203014e-06,0.032437500357627866,2.463864,-0.6431921190682288
1.1,768.0,c5.large,0.618732,6.733812999470158e-06,0.03917968813329935,3.522574,-0.6428867567369274
1.0,768.0,c7g.large,0.721865,6.229375374348958e-06,0.031066406249999998,4.757467,-0.6416916267422438
1.1,512.0,m5.large,0.646899,6.6037607535272835e-06,0.036750000715255735,4.941609,-0.6413830373847718
0.8,256.0,c5.large,0.832773,5.683748087572166e-06,0.024570312816649672,2.417278,-0.6408886915459848
1.2,2176.0,c7g.large,0.512601,7.278700746176969e-06,0.051118360452353954,2.448784,-0.6401823127938573
0.6,256.0,c7g.large,1.033842,4.704115869540107e-06,0.016380469288676976,4.889508,-0.6379752490405233
0.7,1408.0,c7g.large,0.719853,6.268485493994862e-06,0.03134882785566151,2.463666,-0.6372492680186894
1.3,2304.0,m5.large,0.480976,7.465148142210643e-06,0.05587499856948853,15.057782,-0.6357022892484212
0.9,1280.0,c7g.large,0.677963,6.488759054153664e-06,0.034455468211323025,2.477147,-0.6353875459361442
1.4,512.0,c7g.large,0.643743,6.666260423206379e-06,0.03727968696132302,9.435283,-0.6342390429246889
0.6,256.0,m5.large,0.941112,5.195722686982154e-06,0.019875000715255733,3.573746,-0.6332441766130497
1.5,1152.0,c7g.large,0.551787,7.142516293945314e-06,0.046599609375,7.135662,-0.6312635362886351
0.8,640.0,c7g.large,0.827542,5.777978043033377e-06,0.025135547144338487,4.722544,-0.6304760437820023
1.2,1920.0,m5.large,0.524646,7.2958586459755885e-06,0.05006250143051147,16.263146,-0.6284362744946852
0.7,1152.0,m5.large,0.754023,6.165708831344545e-06,0.02943749964237213,2.409838,-0.6270347111609675
1.2,640.0,r5.large,0.523122,7.312980184938758e-06,0.05032617375254631,2.483117,-0.6269789463625984
1.5,640.0,c5.large,0.541385,7.240201958550347e-06,0.04814453125,2.436237,-0.6242424442259732
