#Command: ./FaaSterConfig.py ../openFaas/matmul2.yml -d 10 -c 0.1 0.9 1.7 -m 256.0 2304.0 -to 240 -con 10Function: matmul2
#Function argument(s): 10
#Experiment cost: $0.13917045500222225
#Total time 249.803140, tradeoff: $0.5, timeout: $240.0, concurrency: 10
#Recommendation: CPU :0.8999999761581421, Mem: 256.0, NodeType: c5.large which had a final time of: 0.5735s and expected cost of $0.00000434, with a combined z of -0.826
#Failures: 37.50%
#CPU: [0.1, 0.9, 1.7]
#Mem: [256.0, 2304.0]
#NodeType: ['m5.large', 'c5.large', 'r5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
0.9,256.0,c5.large,0.573503,4.337365252844006e-06,0.02722656186670065,3.597651,-0.8256101851683694
0.9,256.0,m5.large,0.559483,4.487519784674047e-06,0.02887499928474426,4.555019,-0.8234597714457212
1.7,256.0,c5.large,0.491809,6.622558430413095e-06,0.0484765637665987,3.577457,-0.7671112236044189
0.9,2304.0,m5.large,0.539595,6.576313955292107e-06,0.04387499928474427,3.555121,-0.7592657930285276
1.7,256.0,m5.large,0.502358,7.378383324619133e-06,0.05287500143051147,4.59075,-0.7404096072376115
0.9,2304.0,r5.large,0.619553,8.00457619586084e-06,0.046511717811226844,4.546152,-0.6970604120062333
1.7,2304.0,m5.large,0.511423,9.642454682387908e-06,0.06787500143051148,4.695787,-0.6648355101183365
0.1,256.0,c7g.large,3.952692,5.581633466653197e-06,0.005083593783667311,4.74165,-0.12366688291151257
0.1,256.0,r5.large,4.083654,5.862276804837235e-06,0.005167968808673322,4.632685,-0.08888673187950363
0.1,2304.0,r5.large,4.244092,1.769753213948333e-05,0.015011718808673323,4.596432,0.328297694081257
0.1,256.0,m5.large,6.233175,8.440757889901288e-06,0.004875000044703483,5.740248,0.4158723733376136
0.1,256.0,c5.large,6.297367,1.0454613252831919e-05,0.005976562539581209,5.76393,0.4940800301115086
0.1,2304.0,c7g.large,4.567057,3.51122240746123e-05,0.027677343783667308,4.626501,0.9591601965406757
0.1,2304.0,m5.large,6.292849,3.474177059897563e-05,0.019875000044703484,5.673824,1.284862059466553
0.1,2304.0,c5.large,6.296099,5.690809975455408e-05,0.03253906253958121,5.817504,2.0080337638626276
0.9,2304.0,c5.large,,,0.05378906186670065,2.366659,
1.7,2304.0,c5.large,,,0.0750390637665987,,
0.9,256.0,r5.large,,,0.036667967811226845,,
1.7,256.0,r5.large,,,0.06816797062754631,,
1.7,2304.0,r5.large,,,0.07801172062754631,4.788431,
0.9,256.0,c7g.large,,,0.023158593211323023,3.561099,
1.7,256.0,c7g.large,,,0.041233594827353955,3.499183,
0.9,2304.0,c7g.large,,,0.04575234321132302,3.458554,
1.7,2304.0,c7g.large,,,0.06382734482735394,16.907424,
