#Command: ./FaaSterConfig.py ../openFaas/matmul2.yml -d 10 -c 0.1 0.5 0.9 1.3 1.7 -m 256.0 1280.0 2304.0 3328.0 -to 240 -con 10Function: matmul2
#Function argument(s): 10
#Experiment cost: $0.15704587467255557
#Total time 289.595071, tradeoff: $0.5, timeout: $240.0, concurrency: 10
#Recommendation: CPU :0.8999999761581421, Mem: 256.0, NodeType: c5.large which had a final time of: 0.4820s and expected cost of $0.00000365, with a combined z of -0.676
#Failures: 13.75%
#CPU: [0.1, 0.5, 0.9, 1.3, 1.7]
#Mem: [256.0, 1280.0, 2304.0, 3328.0]
#NodeType: ['m5.large', 'c5.large', 'r5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
0.9,256.0,c5.large,0.481963,3.6450542880446236e-06,0.02722656186670065,3.485038,-0.6764353987210434
1.7,256.0,c7g.large,0.407912,4.6721328147821125e-06,0.041233594827353955,21.334128,-0.6492827234116285
1.3,256.0,c5.large,0.432798,4.550577777414893e-06,0.0378515612334013,3.43943,-0.6478428665401121
1.3,256.0,c7g.large,0.485743,4.344174067524752e-06,0.032196092672646046,29.47976,-0.6423130488514934
0.9,256.0,m5.large,0.549828,4.410078640758991e-06,0.02887499928474426,4.591666,-0.620702090110426
1.3,1280.0,c7g.large,0.43649,5.2734015165092415e-06,0.04349296767264604,3.475081,-0.6126259756322298
1.3,256.0,m5.large,0.466385,5.295412835508585e-06,0.04087499856948853,4.555589,-0.6029572675059308
0.5,256.0,c5.large,0.762223,3.5150257703993056e-06,0.0166015625,4.604273,-0.601686047338618
0.9,1280.0,c7g.large,0.522137,4.997354112626547e-06,0.034455468211323025,4.681541,-0.6009476758565251
0.9,256.0,r5.large,0.527374,5.371592460132763e-06,0.036667967811226845,3.495212,-0.5817544569976072
0.5,256.0,r5.large,0.754781,4.3856903808593755e-06,0.02091796875,3.48566,-0.5626977798674331
0.5,256.0,c7g.large,0.897237,3.5194354980468747e-06,0.014121093749999999,3.601672,-0.5625079527619686
1.7,256.0,c5.large,0.460075,6.195237520810528e-06,0.0484765637665987,9.337219,-0.5622645393970342
0.9,2304.0,r5.large,0.492316,6.3606841294310985e-06,0.046511717811226844,2.462802,-0.5451418071819152
1.7,1280.0,c7g.large,0.454909,6.637939860747711e-06,0.05253046982735395,4.595266,-0.5428392710399046
1.7,1280.0,c5.large,0.410624,7.044233477804396e-06,0.0617578137665987,20.64291,-0.5364253129364733
0.5,256.0,m5.large,0.912005,4.2750234375e-06,0.016875,3.50898,-0.5225461319729665
0.9,1280.0,c5.large,0.572855,6.445861824138556e-06,0.040507811866700646,4.573917,-0.5178710531973489
0.9,2304.0,m5.large,0.54638,6.659006141444047e-06,0.04387499928474427,3.433263,-0.5154422324487282
1.3,2304.0,c5.large,0.422901,7.566880808240734e-06,0.06441406123340129,9.054748,-0.508188225841746
0.9,1280.0,r5.large,0.587696,6.789495627996326e-06,0.041589842811226845,5.840889,-0.4973517578370077
