#Command: ./FaaSterConfig.py ../openFaas/matmul2.yml -d 1000 -c 0.1 0.9 1.7 -m 256.0 2304.0 -to 240 -con 10Function: matmul2
#Function argument(s): 1000
#Experiment cost: $0.14339936831422223
#Total time 259.216996, tradeoff: $0.5, timeout: $240.0, concurrency: 10
#Recommendation: CPU :0.8999999761581421, Mem: 256.0, NodeType: c7g.large which had a final time of: 0.5821s and expected cost of $0.00000374, with a combined z of -0.697
#Failures: 25.00%
#CPU: [0.1, 0.9, 1.7]
#Mem: [256.0, 2304.0]
#NodeType: ['m5.large', 'c5.large', 'r5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
0.9,256.0,c7g.large,0.582118,3.744731656385816e-06,0.023158593211323023,3.522489,-0.6967580706262921
1.7,256.0,c7g.large,0.491884,5.633929321682825e-06,0.041233594827353955,3.535317,-0.6553590662314462
0.9,256.0,m5.large,0.69031,5.536861321181058e-06,0.02887499928474426,3.555862,-0.6216669547595908
0.9,256.0,r5.large,0.624526,6.361138684798405e-06,0.036667967811226845,4.707831,-0.608486352755153
1.7,256.0,c5.large,0.533758,7.187431589703386e-06,0.0484765637665987,2.550156,-0.5998617185551826
1.7,256.0,m5.large,0.556444,8.17277147111098e-06,0.05287500143051147,2.443309,-0.5653773616678965
0.9,2304.0,m5.large,0.655535,7.989332682256898e-06,0.04387499928474427,5.839817,-0.552701079820786
1.7,2304.0,r5.large,0.478158,1.036164675328508e-05,0.07801172062754631,2.528357,-0.512557296139778
0.9,2304.0,r5.large,0.702747,9.079436154635063e-06,0.046511717811226844,3.480155,-0.5104628207665288
1.7,2304.0,m5.large,0.540246,1.0185888339674475e-05,0.06787500143051148,2.554518,-0.5064843720410726
0.9,2304.0,c5.large,0.688822,1.0291969214762354e-05,0.05378906186670065,4.672841,-0.47576113451682744
1.7,256.0,r5.large,0.62504,1.1835474544733764e-05,0.06816797062754631,4.615943,-0.44010008732620837
0.1,256.0,c5.large,5.084349,8.44081382543255e-06,0.005976562539581209,4.699799,0.2797801905924654
0.1,256.0,m5.large,7.34199,9.942278216170146e-06,0.004875000044703483,6.970269,0.743230123858214
0.1,2304.0,r5.large,5.491817,2.2900447931303307e-05,0.015011718808673323,6.988245,0.799610758277614
0.1,2304.0,m5.large,5.347115,2.9520530795565184e-05,0.019875000044703484,4.684651,0.9763783492529463
0.1,2304.0,c7g.large,5.540341,4.259497848215197e-05,0.027677343783667308,4.677649,1.414026191660752
0.1,2304.0,c5.large,7.460616,6.74337362799445e-05,0.03253906253958121,7.058621,2.5325507015647717
0.9,256.0,c5.large,,,0.02722656186670065,,
1.7,2304.0,c5.large,,,0.0750390637665987,,
0.1,256.0,r5.large,,,0.005167968808673322,,
0.1,256.0,c7g.large,,,0.005083593783667311,,
0.9,2304.0,c7g.large,,,0.04575234321132302,,
1.7,2304.0,c7g.large,,,0.06382734482735394,20.938511,
