#Command: ./FaaSterConfig.py ../openFaas/matmul2.yml -d 1000 -c 0.1 0.5 0.9 1.3 1.7 -m 256.0 1280.0 2304.0 3328.0 -to 240 -con 10Function: matmul2
#Function argument(s): 1000
#Experiment cost: $0.21835150401711112
#Total time 426.065678, tradeoff: $0.5, timeout: $240.0, concurrency: 10
#Recommendation: CPU :0.8999999761581421, Mem: 256.0, NodeType: c7g.large which had a final time of: 0.5774s and expected cost of $0.00000371, with a combined z of -0.724
#Failures: 16.25%
#CPU: [0.1, 0.5, 0.9, 1.3, 1.7]
#Mem: [256.0, 1280.0, 2304.0, 3328.0]
#NodeType: ['m5.large', 'c5.large', 'r5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
0.9,256.0,c7g.large,0.577439,3.7146319181536547e-06,0.023158593211323023,4.613458,-0.7238528880612664
0.9,256.0,c5.large,0.618954,4.681108159344954e-06,0.02722656186670065,4.593293,-0.6767479742441471
1.3,256.0,c7g.large,0.565824,5.060367205668687e-06,0.032196092672646046,3.498342,-0.6749238324999305
0.9,1280.0,c7g.large,0.636963,6.096349555080263e-06,0.034455468211323025,4.597634,-0.6180382807074457
1.3,1280.0,c7g.large,0.564517,6.820144342127536e-06,0.04349296767264604,3.47366,-0.607609325962915
1.7,256.0,c5.large,0.525244,7.072784516395381e-06,0.0484765637665987,17.276296,-0.6073255751901905
0.5,256.0,c7g.large,1.033343,4.053314827473958e-06,0.014121093749999999,2.461039,-0.6014240398546495
0.5,256.0,c5.large,0.974147,4.492322862413195e-06,0.0166015625,4.575858,-0.5987595374692449
1.3,256.0,m5.large,0.628267,7.133447979515791e-06,0.04087499856948853,4.733457,-0.5802695929709898
0.9,256.0,r5.large,0.686765,6.995076920521446e-06,0.036667967811226845,4.584609,-0.5715481408740564
1.3,2304.0,m5.large,0.518443,8.046667189822594e-06,0.05587499856948853,4.6541,-0.5715314819470957
1.7,1280.0,c7g.large,0.544879,7.950763852516331e-06,0.05253046982735395,3.446025,-0.5688726176168099
1.3,1280.0,c5.large,0.568646,8.07679682684131e-06,0.0511328112334013,9.316559,-0.5583252867487398
1.7,256.0,r5.large,0.465163,8.808116033617035e-06,0.06816797062754631,3.495783,-0.5550557979700209
1.7,256.0,m5.large,0.562107,8.255946785861254e-06,0.05287500143051147,4.565533,-0.5530098670211165
0.9,1280.0,c5.large,0.686493,7.724535914390814e-06,0.040507811866700646,3.533551,-0.5435803341555069
1.7,1280.0,m5.large,0.534989,8.972211566752197e-06,0.06037500143051147,4.662767,-0.5319919364954371
1.7,2304.0,m5.large,0.492571,9.287015924896797e-06,0.06787500143051148,4.704918,-0.5300739928163598
0.9,1280.0,r5.large,0.694931,8.028353070735744e-06,0.041589842811226845,3.47984,-0.5298795992839397
0.5,256.0,m5.large,1.147525,5.3790234375e-06,0.016875,4.66468,-0.5230743455121886
1.7,2304.0,c7g.large,0.52786,9.358861733490848e-06,0.06382734482735394,3.464981,-0.5188438860185403
0.5,1280.0,r5.large,0.963501,6.915754248046876e-06,0.02583984375,4.554991,-0.508182105053258
0.9,2304.0,m5.large,0.704625,8.58761704750359e-06,0.04387499928474427,3.483355,-0.5060606218739252
1.3,2304.0,r5.large,0.56518,9.77474365054816e-06,0.06226171687245369,3.491511,-0.4939050595956227
0.5,256.0,r5.large,1.11323,6.46847509765625e-06,0.02091796875,3.48435,-0.48943727780499025
1.3,3328.0,c7g.large,0.556158,1.0209626868717632e-05,0.06608671767264604,3.47953,-0.4793577192807308
0.9,2304.0,r5.large,0.7239,9.352731256540865e-06,0.046511717811226844,4.621121,-0.4720314644164795
1.3,1280.0,r5.large,0.631388,1.0056580022267996e-05,0.05733984187245369,4.568657,-0.4671847124268446
0.9,3328.0,c7g.large,0.639844,1.0139611104779379e-05,0.05704921821132302,3.46506,-0.46196445906819283
1.7,1280.0,r5.large,0.542389,1.1011980077799782e-05,0.07308984562754631,3.537176,-0.45182776124982293
1.7,3328.0,c7g.large,0.532501,1.1112145050634947e-05,0.07512421982735396,3.453208,-0.4503514648098092
0.9,2304.0,c5.large,0.692474,1.0346535229744906e-05,0.05378906186670065,4.650331,-0.4413815972783859
0.5,1280.0,c5.large,1.022022,8.4835810546875e-06,0.0298828125,3.544769,-0.43388600673807265
1.7,2304.0,r5.large,0.541763,1.1739962167317048e-05,0.07801172062754631,4.696207,-0.42400166905469705
0.9,3328.0,r5.large,0.737732,1.0540057581058891e-05,0.05143359281122685,4.602805,-0.42308298561802743
1.3,3328.0,c5.large,0.544702,1.1755775394293375e-05,0.07769531123340129,4.573586,-0.4226886310282855
0.9,2304.0,c7g.large,0.803269,1.0208733049726732e-05,0.04575234321132302,4.581128,-0.420087425840701
0.5,1280.0,m5.large,1.177453,7.972338020833333e-06,0.024375,5.764305,-0.41623087545596815
1.7,3328.0,m5.large,0.574532,1.2029263978298504e-05,0.07537500143051147,25.225836,-0.4050195150563579
1.7,3328.0,r5.large,0.540019,1.2440477049219981e-05,0.0829335956275463,9.167292,-0.3974994516858004
0.9,3328.0,m5.large,0.79151,1.129550713440776e-05,0.05137499928474426,4.591879,-0.38114479940235724
0.9,3328.0,c5.large,0.683476,1.2733596798168081e-05,0.06707031186670065,4.548206,-0.3518063490295429
1.7,3328.0,c5.large,0.565829,1.3881720782844661e-05,0.0883203137665987,12.417296,-0.33591831222830637
0.5,2304.0,r5.large,1.179522,1.007892333984375e-05,0.03076171875,4.641162,-0.33477832945033414
0.5,2304.0,m5.large,1.222766,1.0826573958333332e-05,0.031875,3.434939,-0.2956679309034157
0.5,2304.0,c7g.large,1.172389,1.1956688597005207e-05,0.03671484375,4.590985,-0.26432773633084194
0.5,3328.0,m5.large,1.137441,1.2440760937499998e-05,0.039375,4.565954,-0.2541120901734451
0.5,3328.0,r5.large,1.220818,1.210088154296875e-05,0.03568359375,4.635153,-0.2471638376812832
0.5,2304.0,c5.large,1.209041,1.449642258029514e-05,0.043164062499999996,3.479702,-0.15792966126901317
0.5,3328.0,c7g.large,1.235212,1.6473514205729164e-05,0.048011718749999995,3.464363,-0.07566926832796149
0.5,3328.0,c5.large,1.241682,1.9468646809895832e-05,0.0564453125,4.703192,0.04098632429554533
0.1,256.0,r5.large,4.800858,6.8918567774638296e-06,0.005167968808673322,4.577876,0.4118341828243242
0.1,256.0,c7g.large,5.096791,7.19722640118097e-06,0.005083593783667311,4.723484,0.49459105545887394
0.1,256.0,c5.large,5.026225,8.34431890291849e-06,0.005976562539581209,4.622674,0.5217385119016493
