#Command: ./FaaSterConfig.py ../openFaas/matmul2.yml -d 5000 -c 0.1 0.5 0.9 1.3 1.7 -m 256.0 1280.0 2304.0 3328.0 -to 240 -con 10Function: matmul2
#Function argument(s): 5000
#Experiment cost: $0.36668689960500006
#Total time 756.270615, tradeoff: $0.5, timeout: $240.0, concurrency: 10
#Recommendation: CPU :1.7000000476837158, Mem: 1280.0, NodeType: m5.large which had a final time of: 5.7207s and expected cost of $0.00009594, with a combined z of -1.030
#Failures: 58.75%
#CPU: [0.1, 0.5, 0.9, 1.3, 1.7]
#Mem: [256.0, 1280.0, 2304.0, 3328.0]
#NodeType: ['m5.large', 'c5.large', 'r5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
1.7,1280.0,m5.large,5.720743,9.594162966905235e-05,0.06037500143051147,2.448066,-1.0303301553764042
1.3,1280.0,c7g.large,7.156665,8.646238874693261e-05,0.04349296767264604,34.111412,-0.99643811009969
1.7,1280.0,c5.large,5.855864,0.00010045704398736937,0.0617578137665987,6.890185,-0.9559373251905987
1.7,2304.0,c5.large,5.290606,0.00011027836694387492,0.0750390637665987,14.052282,-0.8890904306240246
1.3,1280.0,c5.large,7.057391,0.00010024006716758478,0.0511328112334013,3.500532,-0.8259896554455264
1.7,2304.0,m5.large,5.891819,0.00011108533973703187,0.06787500143051148,20.462501,-0.8120123360371021
1.3,2304.0,m5.large,6.834147,0.00010607165384685397,0.05587499856948853,3.481004,-0.7738758594984241
1.7,1280.0,r5.large,5.734346,0.00011642290664303825,0.07308984562754631,6.146562,-0.7591340074829316
1.7,3328.0,m5.large,5.689033,0.0001191141306981186,0.07537500143051147,2.206495,-0.728705051495433
0.9,1280.0,m5.large,9.248715,9.345055597494544e-05,0.03637499928474426,3.5544,-0.6731853089201687
1.3,1280.0,r5.large,7.219042,0.00011498297965294495,0.05733984187245369,8.373134,-0.6139911889981338
0.9,1280.0,c7g.large,10.134969,9.70014172784012e-05,0.034455468211323025,4.656138,-0.5284707604323955
1.7,3328.0,r5.large,5.857643,0.000134943165525702,0.0829335956275463,47.527813,-0.5016356048589573
0.9,1280.0,c5.large,9.441748,0.00010624015324355475,0.040507811866700646,3.45523,-0.4834389828113233
1.7,3328.0,c5.large,5.656373,0.0001387701772613659,0.0883203137665987,6.329793,-0.4734887913638436
1.3,3328.0,m5.large,7.221691,0.00012713184910952447,0.06337499856948853,14.560459,-0.4537249570055698
0.9,2304.0,r5.large,8.82756,0.00011405138324490934,0.046511717811226844,3.584418,-0.4484687490880983
1.3,3328.0,r5.large,7.256264,0.00013541718863743841,0.0671835918724537,47.230417,-0.3408042133814218
0.9,2304.0,c7g.large,9.963209,0.00012662226601503957,0.04575234321132302,2.427941,-0.1574150652192105
1.3,3328.0,c5.large,7.284977,0.0001572245987064361,0.07769531123340129,4.570978,-0.05047575054214026
0.9,3328.0,r5.large,10.044312,0.00014350418152136657,0.05143359281122685,4.683827,0.07384631706597082
0.9,3328.0,m5.large,10.101539,0.00014415737747217118,0.05137499928474426,3.572821,0.08877274659779391
0.9,2304.0,c5.large,10.185313,0.0001521828975246418,0.05378906186670065,4.600626,0.2037104349685117
0.9,3328.0,c5.large,9.838039,0.00018328898441298996,0.06707031186670065,3.504115,0.5749238337528624
0.5,1280.0,c5.large,16.344304,0.00013567049218750002,0.0298828125,4.808278,0.6670322122638064
0.5,1280.0,r5.large,18.096548,0.0001298922146484375,0.02583984375,5.843438,0.7846207355454465
0.5,2304.0,r5.large,17.312033,0.00014792996948242187,0.03076171875,2.482288,0.9354251863457262
0.5,3328.0,m5.large,15.250865,0.0001668063359375,0.039375,3.455163,0.9561638312128392
0.5,2304.0,m5.large,17.955131,0.00015897772239583337,0.031875,3.462618,1.1519809988313359
0.5,3328.0,r5.large,17.738179,0.0001758227703613281,0.03568359375,4.620108,1.3498129014307514
0.5,2304.0,c5.large,17.436689,0.00020906620383029514,0.043164062499999996,4.433477,1.7542308793313541
0.5,3328.0,c5.large,14.964748,0.00023463607703993057,0.0564453125,4.730105,1.8177053009424928
0.5,3328.0,c7g.large,17.698727,0.00023604063971028645,0.048011718749999995,3.561712,2.1383869255824886
0.1,256.0,m5.large,,,0.004875000044703483,,
0.5,256.0,m5.large,,,0.016875,,
0.9,256.0,m5.large,,,0.02887499928474426,,
1.3,256.0,m5.large,,,0.04087499856948853,,
1.7,256.0,m5.large,,,0.05287500143051147,,
0.1,1280.0,m5.large,,,0.012375000044703483,,
0.5,1280.0,m5.large,,,0.024375,,
1.3,1280.0,m5.large,,,0.04837499856948853,,
0.1,2304.0,m5.large,,,0.019875000044703484,,
0.9,2304.0,m5.large,,,0.04387499928474427,,
0.1,3328.0,m5.large,,,0.027375000044703484,,
0.1,256.0,c5.large,,,0.005976562539581209,,
