#Command: ./FaaSterConfig.py ../openFaas/matmul2.yml -d 10 -c 0.1 0.3 0.5 0.7 0.9 1.1 1.3 1.5 1.7 1.9 -m 256.0 768.0 1280.0 1792.0 2304.0 2816.0 3328.0 3840.0 -to 240 -con 10Function: matmul2
#Function argument(s): 10
#Experiment cost: $1.5045405871585555
#Total time 3289.212289, tradeoff: $0.5, timeout: $240.0, concurrency: 10
#Recommendation: CPU :0.8999999761581421, Mem: 256.0, NodeType: c5.large which had a final time of: 0.4873s and expected cost of $0.00000369, with a combined z of -0.683
#Failures: 43.75%
#CPU: [0.1, 0.3, 0.5, 0.7, 0.9, 1.1, 1.3, 1.5, 1.7, 1.9]
#Mem: [256.0, 768.0, 1280.0, 1792.0, 2304.0, 2816.0, 3328.0, 3840.0]
#NodeType: ['m5.large', 'c5.large', 'r5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
0.9,256.0,c5.large,0.487339,3.6857126204322297e-06,0.02722656186670065,3.605938,-0.6830699276176071
0.9,768.0,m5.large,0.473944,4.295117405835787e-06,0.032624999284744265,3.537552,-0.6521642326149997
1.1,768.0,m5.large,0.429162,4.604550710266828e-06,0.038625000715255736,3.540354,-0.6507420661561181
1.3,256.0,c7g.large,0.481184,4.303401293498477e-06,0.032196092672646046,3.545102,-0.648955382417969
1.1,256.0,c5.large,0.497806,4.499483572815338e-06,0.03253906313329935,2.488602,-0.6311462791273929
1.5,256.0,c7g.large,0.463257,4.724557880859375e-06,0.036714843750000004,4.657045,-0.6308541524511091
0.7,768.0,m5.large,0.569992,4.215565776709716e-06,0.02662499964237213,2.419703,-0.6207670681463118
1.1,1280.0,m5.large,0.432797,5.0943814401557045e-06,0.04237500071525574,4.609946,-0.6204892916195868
1.1,256.0,m5.large,0.502445,4.8674360373268534e-06,0.03487500071525574,3.668143,-0.607703840948037
0.5,256.0,c5.large,0.746098,3.440664605034722e-06,0.0166015625,4.829837,-0.6002964310910478
0.7,768.0,c7g.large,0.64301,4.3382243203819885e-06,0.024288280980661513,3.509225,-0.5860980612669459
0.7,256.0,m5.large,0.666752,4.236653267097473e-06,0.022874999642372128,3.577589,-0.5831673504885756
1.3,1280.0,m5.large,0.431866,5.803199203391871e-06,0.04837499856948853,4.686628,-0.5790377156443374
0.9,768.0,r5.large,0.500726,5.442461178019271e-06,0.03912890531122685,4.711235,-0.5744385484309282
1.7,768.0,c7g.large,0.448984,5.847022889573524e-06,0.046882032327353954,2.451757,-0.5700214529500527
1.3,768.0,c5.large,0.470519,5.81511638176493e-06,0.0444921862334013,4.612124,-0.5638116349809865
0.9,1280.0,c7g.large,0.554708,5.309089961268492e-06,0.034455468211323025,4.663201,-0.5620209751754919
1.3,768.0,m5.large,0.478041,5.925716372543573e-06,0.044624998569488525,4.820973,-0.5544629002320601
0.7,768.0,c5.large,0.631695,5.010514755635134e-06,0.028554687183350323,2.444845,-0.5507022576486685
1.1,1792.0,c5.large,0.432767,6.306489670314878e-06,0.05246093813329935,2.538742,-0.5490184342500468
1.3,1280.0,c5.large,0.440567,6.257619235184975e-06,0.0511328112334013,2.421368,-0.5489697565386682
0.9,1792.0,c7g.large,0.520648,5.800005083552474e-06,0.040103905711323024,4.803536,-0.5458675805066757
1.1,1792.0,m5.large,0.481049,6.163440408075849e-06,0.046125000715255736,2.415257,-0.5393132975296577
0.9,1280.0,m5.large,0.562524,5.683836138236522e-06,0.03637499928474426,3.534844,-0.5369841787137909
1.1,768.0,r5.large,0.477858,6.2392203003924345e-06,0.047003907188773154,3.521941,-0.5360432708373148
1.7,256.0,c5.large,0.469623,6.323808140489273e-06,0.0484765637665987,3.53689,-0.5341490168709015
0.7,1280.0,m5.large,0.632405,5.3359171246762075e-06,0.030374999642372127,4.668001,-0.5312454055210628
0.9,1280.0,r5.large,0.523022,6.042334101892634e-06,0.041589842811226845,2.514627,-0.5306846223434905
0.9,1792.0,m5.large,0.538815,6.005542080447079e-06,0.040124999284744264,3.662892,-0.52692038993653
1.1,1280.0,c5.large,0.499545,6.3581412011594506e-06,0.045820313133299345,4.662558,-0.5208815378062421
0.7,256.0,r5.large,0.665802,5.3251155186580495e-06,0.028792968280613424,3.516702,-0.519333991620695
0.9,2304.0,m5.large,0.525311,6.402227708130083e-06,0.04387499928474427,4.694615,-0.5086004195516935
1.5,2304.0,m5.large,0.414272,7.120299999999999e-06,0.061875,2.378404,-0.507974500107194
1.1,2304.0,m5.large,0.491882,6.814615306061507e-06,0.04987500071525574,2.398732,-0.49684097030135593
1.1,1280.0,r5.large,0.495788,6.812243449599295e-06,0.04946484468877315,4.854059,-0.49551322587243307
1.3,2304.0,c5.large,0.411431,7.3616504520332024e-06,0.06441406123340129,2.43888,-0.49480870924810627
1.7,1280.0,c7g.large,0.477019,6.96056449627071e-06,0.05253046982735395,4.759604,-0.49381840106643216
1.5,1280.0,m5.large,0.469262,7.087811458333333e-06,0.054375,3.567915,-0.4892287928106793
0.7,1792.0,c7g.large,0.620815,6.136610725037327e-06,0.03558515598066151,2.440151,-0.4883805592974685
1.7,768.0,m5.large,0.461089,7.252545912386973e-06,0.05662500143051147,16.417581,-0.48258472588292656
1.7,1792.0,c7g.large,0.455925,7.368116200895514e-06,0.05817890732735395,4.644692,-0.47770944982233154
0.7,1792.0,r5.large,0.627415,6.3047854162412695e-06,0.036175780780613426,2.459134,-0.47598287703311826
