#Command: ./FaaSterConfig.py ../openFaas/ocr.yml -d https://www.pyimagesearch.com/wp-content/uploads/2017/06/tesseract_header.jpg -c 0.1 0.5 0.9 1.3 1.7 -m 256.0 1280.0 2304.0 3328.0 -to 240 -con 5Function: openfaas-ocr
#Function argument(s): https://www.pyimagesearch.com/wp-content/uploads/2017/06/tesseract_header.jpg
#Experiment cost: $0.1622708812111111
#Total time 301.226300, tradeoff: $0.5, timeout: $240.0, concurrency: 5
#Recommendation: CPU :0.8999999761581421, Mem: 256.0, NodeType: c7g.large which had a final time of: 1.3056s and expected cost of $0.00000840, with a combined z of -1.213
#Failures: 23.75%
#CPU: [0.1, 0.5, 0.9, 1.3, 1.7]
#Mem: [256.0, 1280.0, 2304.0, 3328.0]
#NodeType: ['m5.large', 'c5.large', 'r5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
0.9,256.0,c7g.large,1.305634,8.399068524686812e-06,0.023158593211323023,3.519142,-1.2129204605671426
1.3,256.0,c7g.large,1.213346,1.0851388961106775e-05,0.032196092672646046,3.61828,-1.0891711762708423
1.3,256.0,c5.large,1.184945,1.245889395158686e-05,0.0378515612334013,3.468074,-0.9802485040962459
1.3,1280.0,c7g.large,1.110243,1.3413267474383767e-05,0.04349296767264604,2.72087,-0.9656909442859771
1.7,256.0,c7g.large,1.150991,1.3183193484425266e-05,0.041233594827353955,5.280966,-0.9495002803059199
1.3,256.0,m5.large,1.197463,1.3596194003337622e-05,0.04087499856948853,4.662233,-0.8749335481485503
0.9,256.0,m5.large,1.449461,1.1625884816184639e-05,0.02887499928474426,3.599967,-0.8202805913842358
1.7,256.0,c5.large,1.165286,1.569140585703465e-05,0.0484765637665987,3.486817,-0.7287707250258241
0.9,1280.0,c7g.large,1.428239,1.3669623184075498e-05,0.034455468211323025,2.673548,-0.6689026195879402
0.9,1280.0,m5.large,1.410729,1.4254240657213329e-05,0.03637499928474426,4.642369,-0.6355109449172045
0.9,256.0,r5.large,1.435291,1.461922338548433e-05,0.036667967811226845,3.630598,-0.5839144281703683
1.7,256.0,m5.large,1.181097,1.734736265682578e-05,0.05287500143051147,4.610725,-0.5775205704870962
1.3,256.0,r5.large,1.191436,1.7347959105180203e-05,0.05241796687245369,2.397406,-0.5685138905689655
1.3,1280.0,c5.large,1.248493,1.773304358200636e-05,0.0511328112334013,4.685667,-0.48709575344662054
1.3,2304.0,c7g.large,1.199388,1.8253966617627662e-05,0.05478984267264604,2.562717,-0.48636702449513697
0.9,1280.0,c5.large,1.430592,1.6097264331668616e-05,0.040507811866700646,4.707333,-0.46521161522644383
1.3,1280.0,r5.large,1.186242,1.8894146861795334e-05,0.05733984187245369,2.416682,-0.44457928976415645
1.3,2304.0,m5.large,1.214906,1.8856353058906397e-05,0.05587499856948853,4.612612,-0.4228857406988092
1.7,2304.0,m5.large,1.090472,2.055994126664798e-05,0.06787500143051148,4.612698,-0.38917955859161163
0.9,1280.0,r5.large,1.455527,1.6815316427082383e-05,0.041589842811226845,3.512282,-0.3839641746326792
1.7,1280.0,c5.large,1.160339,1.9905555518922604e-05,0.0617578137665987,2.359538,-0.3830073497510554
1.7,2304.0,c7g.large,1.146176,2.032149188467701e-05,0.06382734482735394,2.588935,-0.3607275498311257
1.7,1280.0,c7g.large,1.292792,1.886415865251238e-05,0.05253046982735395,2.586229,-0.35476125954826
0.9,2304.0,m5.large,1.449514,1.7665951587007442e-05,0.04387499928474427,3.472091,-0.3185153250412981
1.3,2304.0,r5.large,1.193634,2.064380615481511e-05,0.06226171687245369,3.480907,-0.2928394733216918
0.9,2304.0,c7g.large,1.448501,1.840897635942906e-05,0.04575234321132302,3.855229,-0.2576734312192058
1.7,256.0,r5.large,1.150133,2.177839793382548e-05,0.06816797062754631,2.403265,-0.23628123330347692
0.9,2304.0,r5.large,1.449065,1.872180621392373e-05,0.046511717811226844,3.529977,-0.23119953870992
1.3,2304.0,c5.large,1.202309,2.151266820763041e-05,0.06441406123340129,4.653491,-0.21315173517949737
1.3,3328.0,m5.large,1.229375,2.1642121907323602e-05,0.06337499856948853,3.518519,-0.1789501574960984
1.3,3328.0,c7g.large,1.208617,2.2187091792600125e-05,0.06608671767264604,4.698979,-0.15166570455850062
0.9,3328.0,m5.large,1.418446,2.0242406176513434e-05,0.05137499928474426,4.715036,-0.13141720210462396
0.9,3328.0,r5.large,1.442049,2.0602711411065796e-05,0.05143359281122685,3.521342,-0.08104004668413031
1.3,3328.0,r5.large,1.227627,2.2910108705445754e-05,0.0671835918724537,3.514509,-0.07513895159566614
0.9,2304.0,c5.large,1.413242,2.1115822602949936e-05,0.05378906186670065,3.509185,-0.06337514936729535
1.7,3328.0,c7g.large,1.145759,2.3909514162547012e-05,0.07512421982735396,8.137279,-0.06304902989631195
0.5,256.0,c7g.large,2.506791,9.832952978515625e-06,0.014121093749999999,3.503416,-0.053198798430028615
1.7,3328.0,m5.large,1.156174,2.420739358442227e-05,0.07537500143051147,2.518361,-0.029282638352903234
1.7,1280.0,r5.large,1.181734,2.399243212022856e-05,0.07308984562754631,2.379084,-0.02499468972014912
1.7,2304.0,r5.large,1.134807,2.4591179625051096e-05,0.07801172062754631,3.512771,-0.015914557396726092
1.7,2304.0,c5.large,1.170109,2.438996774024196e-05,0.0750390637665987,2.370203,-0.002044569063746615
0.5,256.0,m5.large,2.493557,1.1688548437500001e-05,0.016875,4.662689,0.08947140503177908
0.5,256.0,c5.large,2.506231,1.1557597384982639e-05,0.0166015625,4.632819,0.08957397998754746
1.3,3328.0,c5.large,1.207155,2.6052856508876814e-05,0.07769531123340129,2.460207,0.16817821637008573
1.7,3328.0,r5.large,1.156157,2.6634515866654738e-05,0.0829335956275463,4.672019,0.17231202988185046
1.7,3328.0,c5.large,1.152364,2.8271430570370205e-05,0.0883203137665987,3.522167,0.30499663127786525
0.5,256.0,r5.large,2.5075,1.45699462890625e-05,0.02091796875,4.624731,0.340894733230719
0.5,1280.0,m5.large,2.374367,1.6076443229166666e-05,0.024375,4.61987,0.35069315908020765
0.9,3328.0,c7g.large,1.581764,2.5066222109670872e-05,0.05704921821132302,4.657846,0.4107636812979491
0.9,3328.0,c5.large,1.446492,2.6949074875746546e-05,0.06707031186670065,4.78363,0.4499710679463119
0.5,1280.0,c7g.large,2.607072,1.84073540625e-05,0.02541796875,3.879768,0.7459134295688139
0.5,1280.0,c5.large,2.477645,2.056638916015625e-05,0.0298828125,3.515383,0.8131257402523061
0.5,1280.0,r5.large,2.717206,1.950338291015625e-05,0.02583984375,4.630077,0.9323692697297588
0.5,2304.0,m5.large,2.487611,2.2025722395833335e-05,0.031875,4.599779,0.9429795356313181
0.5,2304.0,r5.large,2.528486,2.160571533203125e-05,0.03076171875,2.41157,0.9435033967313907
0.5,2304.0,c7g.large,2.59565,2.6471912272135412e-05,0.03671484375,3.817729,1.4059021775792253
0.5,3328.0,m5.large,2.526312,2.76315375e-05,0.039375,3.51035,1.4421560830911326
0.5,2304.0,c5.large,2.417315,2.89836488172743e-05,0.043164062499999996,3.483808,1.4600405273365362
0.5,3328.0,r5.large,2.692991,2.6693221337890626e-05,0.03568359375,2.402627,1.508616099500616
0.5,3328.0,c7g.large,2.547514,3.3975146022135416e-05,0.048011718749999995,2.422778,1.9874574253960695
0.5,3328.0,c5.large,2.644936,4.147062196180556e-05,0.0564453125,2.370855,2.694471642322011
0.1,256.0,m5.large,,,0.004875000044703483,,
0.1,1280.0,m5.large,,,0.012375000044703483,,
1.3,1280.0,m5.large,,,0.04837499856948853,,
1.7,1280.0,m5.large,,,0.06037500143051147,,
0.1,2304.0,m5.large,,,0.019875000044703484,,
0.1,3328.0,m5.large,,,0.027375000044703484,,
0.1,256.0,c5.large,,,0.005976562539581209,,
0.9,256.0,c5.large,,,0.02722656186670065,,
0.1,1280.0,c5.large,,,0.01925781253958121,,
0.1,2304.0,c5.large,,,0.03253906253958121,,
0.1,3328.0,c5.large,,,0.04582031253958121,,
0.1,256.0,r5.large,,,0.005167968808673322,,
0.1,1280.0,r5.large,,,0.010089843808673322,,
0.1,2304.0,r5.large,,,0.015011718808673323,,
0.1,3328.0,r5.large,,,0.019933593808673322,,
0.1,256.0,c7g.large,,,0.005083593783667311,,
0.1,1280.0,c7g.large,,,0.01638046878366731,,
0.1,2304.0,c7g.large,,,0.027677343783667308,,
0.1,3328.0,c7g.large,,,0.03897421878366731,,
