#Command: ./FaaSterConfig2.py ../openFaas/matmul2.yml -d 10 -c 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.0 1.1 1.2 1.3 1.4 1.5 1.6 1.7 -m 256.0 512.0 768.0 1024.0 -to 120 -con 1 -hy 53Function: matmul2
#Function argument(s): 10
#Experiment cost: $0.23861289250066667
#Total time 471.168942, tradeoff: $0.5, timeout: $120.0, concurrency: 1
#Recommendation: CPU :0.8999999761581421, Mem: 256.0, NodeType: c7g.large which had a final time of: 0.5518s and expected cost of $0.00000355, with a combined z of -0.808
#Failures: 9.43%
#Skips: 219
#CPU: [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]
#Mem: [256.0, 512.0, 768.0, 1024.0]
#NodeType: ['c5.large', 'r5.large', 'c7g.large', 'm5.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
0.9,256.0,c7g.large,0.551801,3.5497041368336823e-06,0.023158593211323023,2.874836,-0.8083083150975613
0.8,256.0,c7g.large,0.604189,3.5075217333541947e-06,0.020899219019338486,2.5991,-0.7868465049913642
1.0,256.0,c7g.large,0.520717,3.6765467871093747e-06,0.02541796875,4.988459,-0.7803096823703471
1.1,256.0,c7g.large,0.487895,3.7510105254789037e-06,0.027677344288676974,2.843544,-0.7745381951707891
0.8,256.0,c5.large,0.543191,3.7073257747746533e-06,0.024570312816649672,2.574761,-0.7515493437824868
1.2,256.0,c7g.large,0.481207,4.001599760544865e-06,0.029936719827353953,2.527816,-0.6791790811260137
1.0,512.0,c7g.large,0.507233,3.979269303385416e-06,0.028242187499999998,3.772128,-0.6690669089987822
0.6,512.0,c7g.large,0.700029,3.734399600840835e-06,0.019204688038676976,4.943321,-0.6259432002053169
0.7,512.0,c7g.large,0.654967,3.90507012417491e-06,0.02146406223066151,2.801899,-0.5906394762651115
0.9,256.0,c5.large,0.543445,4.110038587124759e-06,0.02722656186670065,4.98468,-0.5902498535908228
1.1,256.0,c5.large,0.472491,4.270670688587706e-06,0.03253906313329935,5.006702,-0.5779100813368434
0.7,256.0,c5.large,0.656006,3.99326563240303e-06,0.021914062183350323,2.634056,-0.5545946897183134
0.9,512.0,c7g.large,0.576769,4.1628001311445325e-06,0.025982811961323023,3.990754,-0.5447548625247797
0.8,256.0,m5.large,0.590355,4.2431766211464995e-06,0.025875000357627867,2.591182,-0.5026562897996655
1.3,256.0,c7g.large,0.495547,4.431854759903258e-06,0.032196092672646046,2.823089,-0.49655257471564357
0.7,768.0,c7g.large,0.624512,4.2134230366096895e-06,0.024288280980661513,5.096878,-0.48956359424085205
1.5,256.0,c7g.large,0.450826,4.5977794856770845e-06,0.036714843750000004,5.297579,-0.46289796029420305
1.4,256.0,c7g.large,0.481602,4.609395111530442e-06,0.034455468211323025,4.921648,-0.43572888401812515
0.5,256.0,m5.large,0.86006,4.031531250000001e-06,0.016875,3.027801,-0.38995817348216055
1.1,512.0,c5.large,0.493632,4.917037586838006e-06,0.03585937563329935,5.305099,-0.3038465281303806
1.3,768.0,c7g.large,0.474246,4.985449182293527e-06,0.037844530172646045,2.578814,-0.29066380576069967
1.4,512.0,c7g.large,0.483347,5.005284681581833e-06,0.03727968696132302,3.886725,-0.27606805343118807
1.0,256.0,r5.large,0.475976,5.368674609375e-06,0.04060546875,5.214684,-0.13608050525688
0.6,768.0,m5.large,0.75874,4.979231400748094e-06,0.023625000715255737,2.545004,-0.08495747066188708
0.5,256.0,r5.large,0.851982,4.95048134765625e-06,0.02091796875,2.559735,-0.028224643812704252
1.2,768.0,m5.large,0.49263,5.696034570753573e-06,0.04162500143051147,5.273161,0.00707410218213092
0.8,512.0,c5.large,0.691477,5.357146089466935e-06,0.027890625316649674,4.979255,0.017011795664300916
1.0,1024.0,c5.large,0.514824,5.697921874999999e-06,0.03984375,2.553509,0.024070818509940556
