#Command: ./FaaSterConfig2.py ../openFaas/matmul2.yml -d 1000 -c 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.0 1.1 1.2 1.3 1.4 1.5 1.6 1.7 -m 256.0 512.0 768.0 1024.0 -to 120 -con 1 -hy 53Function: matmul2
#Function argument(s): 1000
#Experiment cost: $0.21827690617488887
#Total time 425.899618, tradeoff: $0.5, timeout: $120.0, concurrency: 1
#Recommendation: CPU :1.0, Mem: 256.0, NodeType: c5.large which had a final time of: 0.5885s and expected cost of $0.00000488, with a combined z of -0.744
#Failures: 15.09%
#Skips: 219
#CPU: [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]
#Mem: [256.0, 512.0, 768.0, 1024.0]
#NodeType: ['c5.large', 'r5.large', 'c7g.large', 'm5.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
1.0,256.0,c5.large,0.588458,4.8846611328125e-06,0.029882812499999998,3.878369,-0.7436712196609
0.9,256.0,c5.large,0.654891,4.952897313179293e-06,0.02722656186670065,2.605209,-0.6915229813223115
0.8,256.0,c5.large,0.751449,5.12870472104405e-06,0.024570312816649672,2.591732,-0.5921975765950107
0.9,256.0,m5.large,0.669771,5.372121429428458e-06,0.02887499928474426,2.84206,-0.5558074297524928
1.3,768.0,c7g.large,0.533989,5.613489672878081e-06,0.037844530172646045,3.837179,-0.5454523002198071
0.9,512.0,c5.large,0.651456,5.5277623853981504e-06,0.03054687436670065,2.592286,-0.5166161489127398
0.7,256.0,m5.large,0.840011,5.337569812385737e-06,0.022874999642372128,5.047926,-0.486476118260602
1.1,512.0,c5.large,0.584131,5.818492485570772e-06,0.03585937563329935,4.965199,-0.4589579642643404
1.4,256.0,c7g.large,0.618918,5.923641520671006e-06,0.034455468211323025,4.036515,-0.4103353943950411
1.0,512.0,c5.large,0.641454,5.9161881510416665e-06,0.033203125,2.573956,-0.402041655230108
0.6,256.0,m5.large,0.979887,5.409793007186054e-06,0.019875000715255733,4.911368,-0.3986164505622265
0.9,512.0,m5.large,0.689218,5.887070279731353e-06,0.030749999284744263,4.900423,-0.38855378859954093
1.0,512.0,m5.large,0.638394,5.984943750000001e-06,0.03375,4.994341,-0.38236625684649606
1.5,768.0,c7g.large,0.529767,6.234074560546876e-06,0.04236328125,2.559777,-0.35687615852185567
