#Command: ./FaaSterConfig2.py ../openFaas/ocr.yml -d https://www.pyimagesearch.com/wp-content/uploads/2017/06/tesseract_header.jpg -c 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.0 1.1 1.2 1.3 1.4 1.5 1.6 1.7 -m 256.0 512.0 768.0 1024.0 -to 120 -con 1 -hy 53Function: openfaas-ocr
#Function argument(s): https://www.pyimagesearch.com/wp-content/uploads/2017/06/tesseract_header.jpg
#Experiment cost: $0.3417954980685556
#Total time 700.860619, tradeoff: $0.5, timeout: $120.0, concurrency: 1
#Recommendation: CPU :1.0, Mem: 256.0, NodeType: c7g.large which had a final time of: 1.3113s and expected cost of $0.00000926, with a combined z of -1.049
#Failures: 24.53%
#Skips: 219
#CPU: [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]
#Mem: [256.0, 512.0, 768.0, 1024.0]
#NodeType: ['c5.large', 'r5.large', 'c7g.large', 'm5.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
1.0,256.0,c7g.large,1.311326,9.25867869140625e-06,0.02541796875,2.555707,-1.0492113824777933
0.9,512.0,c7g.large,1.366298,9.861184449203257e-06,0.025982811961323023,3.784563,-0.9011299867891118
1.1,512.0,c7g.large,1.247473,1.0569410096818744e-05,0.030501563038676974,2.547302,-0.8404015951290483
1.3,256.0,c7g.large,1.270247,1.1360275035875171e-05,0.032196092672646046,4.938323,-0.6765367692787356
0.7,256.0,c7g.large,1.858363,9.62210984729238e-06,0.01863984348066151,5.43803,-0.6423996892108602
0.8,256.0,c5.large,1.569322,1.0710759013902862e-05,0.024570312816649672,5.03754,-0.6147814049387146
1.2,256.0,m5.large,1.155662,1.2158527750885486e-05,0.03787500143051147,5.072541,-0.5961371347573838
1.0,256.0,m5.large,1.317383,1.1664328645833335e-05,0.031875,4.9952,-0.5898252419830271
1.0,256.0,c5.large,1.38333,1.1482719726562498e-05,0.029882812499999998,2.529849,-0.5834789969577451
0.8,512.0,c7g.large,1.645042,1.0840569865263366e-05,0.023723437769338485,2.542582,-0.5434124128826852
1.6,256.0,c7g.large,1.152342,1.2475452723209056e-05,0.038974219288676976,2.550479,-0.5381609159498163
1.0,768.0,c5.large,1.217638,1.2353423719618056e-05,0.0365234375,4.931715,-0.5209320991957371
1.1,768.0,c7g.large,1.318695,1.2207372726616495e-05,0.03332578178867698,2.525598,-0.4861589752745612
0.6,256.0,c7g.large,2.120601,9.64901098723269e-06,0.016380469288676976,5.59237,-0.4752860167321803
0.8,256.0,m5.large,1.596787,1.1476906721126536e-05,0.025875000357627867,3.021965,-0.4526999256175207
1.7,256.0,c7g.large,1.139816,1.3055197533815354e-05,0.041233594827353955,2.53862,-0.43609284808429305
0.7,512.0,c7g.large,1.834732,1.093911161794057e-05,0.02146406223066151,3.800701,-0.4075519098168847
1.3,768.0,c7g.large,1.229014,1.2919849279334558e-05,0.037844530172646045,2.60673,-0.40661940707044697
1.2,768.0,c7g.large,1.336227,1.3208291116682833e-05,0.035585157327353956,2.703544,-0.285747480594205
1.3,512.0,c5.large,1.214303,1.3887536052802886e-05,0.041171873733401296,5.51954,-0.232422856912017
1.4,1024.0,c7g.large,1.183999,1.4118571231689443e-05,0.04292812446132302,2.756749,-0.20738617763046566
0.9,1024.0,c7g.large,1.509438,1.3262613867889029e-05,0.03163124946132302,2.798637,-0.16844352757017614
1.0,1024.0,m5.large,1.337819,1.3935614583333335e-05,0.0375,2.774734,-0.14700464536141983
0.6,512.0,c7g.large,2.131278,1.136959142047094e-05,0.019204688038676976,2.547219,-0.14280161253653234
1.4,256.0,m5.large,1.239706,1.5108916628692545e-05,0.04387499928474426,2.589735,0.014608382573922718
1.4,512.0,m5.large,1.240662,1.5766746003502605e-05,0.045749999284744255,4.880707,0.1397956971513265
0.7,256.0,r5.large,1.770272,1.4158718206682803e-05,0.028792968280613424,2.545991,0.16243479994813942
1.1,512.0,r5.large,1.289828,1.6399961820723862e-05,0.045773438438773156,3.553016,0.2901066352156769
1.5,1024.0,c7g.large,1.311489,1.646191921875e-05,0.0451875,4.936041,0.3152245334866593
0.5,512.0,c7g.large,2.629335,1.2376362011718752e-05,0.0169453125,2.78807,0.3556009702724342
1.1,768.0,r5.large,1.303863,1.7024070955243148e-05,0.047003907188773154,2.536076,0.4169877377146409
0.7,768.0,r5.large,1.793549,1.557094762747595e-05,0.03125390578061342,2.575444,0.44430040289315265
0.6,512.0,r5.large,2.069104,1.4992922102060914e-05,0.026085938438773156,2.548478,0.5050651226417684
0.5,256.0,r5.large,2.572287,1.4946394189453128e-05,0.02091796875,6.10857,0.8071339025792086
0.5,512.0,r5.large,2.626805,1.616100732421875e-05,0.0221484375,2.653188,1.0708714633613745
0.3,256.0,c7g.large,4.257457,1.135599076709466e-05,0.009602344019338488,4.959748,1.168239016120403
0.4,512.0,c5.large,3.15726,1.5142241024270187e-05,0.017265625158324836,5.044097,1.2056421509497515
1.6,1024.0,r5.large,1.160911,2.1903125810543637e-05,0.06792187593877316,2.934995,1.252788805234196
0.4,256.0,r5.large,3.311628,1.5620276817456076e-05,0.01698046898469329,5.382836,1.3915580262944394
0.3,512.0,c5.large,4.340019,1.761249068121961e-05,0.014609375316649676,3.964039,2.4042653663142706
0.1,256.0,c5.large,,,0.005976562539581209,,
0.2,256.0,c5.large,,,0.008632812579162418,,
0.3,256.0,c5.large,,,0.011289062816649676,,
0.4,256.0,c5.large,,,0.013945312658324837,2.822108,
0.5,256.0,c5.large,,,0.0166015625,,
0.6,256.0,c5.large,,,0.01925781313329935,,
0.7,256.0,c5.large,,,0.021914062183350323,,
0.9,256.0,c5.large,,,0.02722656186670065,,
1.1,256.0,c5.large,,,0.03253906313329935,,
1.2,256.0,c5.large,,,0.0351953137665987,,
1.3,256.0,c5.large,,,0.0378515612334013,,
1.4,256.0,c5.large,,,0.040507811866700646,,
1.5,256.0,c5.large,,,0.043164062499999996,,
1.6,256.0,c5.large,,,0.045820313133299345,,
1.7,256.0,c5.large,,,0.0484765637665987,,
0.1,512.0,c5.large,,,0.00929687503958121,,
0.2,512.0,c5.large,,,0.011953125079162418,,
0.5,512.0,c5.large,,,0.019921875,,
0.6,512.0,c5.large,,,0.02257812563329935,,
0.7,512.0,c5.large,,,0.025234374683350325,,
0.8,512.0,c5.large,,,0.027890625316649674,,
0.9,512.0,c5.large,,,0.03054687436670065,,
1.0,512.0,c5.large,,,0.033203125,,
1.1,512.0,c5.large,,,0.03585937563329935,,
1.2,512.0,c5.large,,,0.0385156262665987,,
1.4,512.0,c5.large,,,0.043828124366700645,,
1.5,512.0,c5.large,,,0.046484374999999994,,
1.6,512.0,c5.large,,,0.049140625633299344,,
1.7,512.0,c5.large,,,0.0517968762665987,,
0.1,768.0,c5.large,,,0.012617187539581208,,
0.2,768.0,c5.large,,,0.015273437579162417,,
0.3,768.0,c5.large,,,0.017929687816649675,,
0.4,768.0,c5.large,,,0.020585937658324838,,
0.5,768.0,c5.large,,,0.023242187499999997,,
0.6,768.0,c5.large,,,0.02589843813329935,,
0.7,768.0,c5.large,,,0.028554687183350323,,
0.8,768.0,c5.large,,,0.031210937816649673,,
0.9,768.0,c5.large,,,0.03386718686670065,,
1.1,768.0,c5.large,,,0.03917968813329935,,
1.2,768.0,c5.large,,,0.041835938766598704,,
1.3,768.0,c5.large,,,0.0444921862334013,,
1.4,768.0,c5.large,,,0.047148436866700644,,
1.5,768.0,c5.large,,,0.0498046875,,
1.6,768.0,c5.large,,,0.05246093813329934,,
1.7,768.0,c5.large,,,0.0551171887665987,,
0.1,1024.0,c5.large,,,0.01593750003958121,,
0.2,1024.0,c5.large,,,0.01859375007916242,,
0.3,1024.0,c5.large,,,0.021250000316649677,,
0.4,1024.0,c5.large,,,0.023906250158324836,,
0.5,1024.0,c5.large,,,0.0265625,,
0.6,1024.0,c5.large,,,0.029218750633299352,,
0.7,1024.0,c5.large,,,0.03187499968335032,,
0.8,1024.0,c5.large,,,0.03453125031664967,,
0.9,1024.0,c5.large,,,0.03718749936670065,,
1.0,1024.0,c5.large,,,0.03984375,,
1.1,1024.0,c5.large,,,0.04250000063329935,,
1.2,1024.0,c5.large,,,0.0451562512665987,,
1.3,1024.0,c5.large,,,0.0478124987334013,,
1.4,1024.0,c5.large,,,0.05046874936670065,,
1.5,1024.0,c5.large,,,0.053125,,
1.6,1024.0,c5.large,,,0.05578125063329935,,
1.7,1024.0,c5.large,,,0.058437501266598704,,
0.1,256.0,r5.large,,,0.005167968808673322,,
0.2,256.0,r5.large,,,0.009105468867346644,,
